vehicle_id,vehicle_type,make_id,model_year,vehicle_desc,color,date_stolen,location_id,year_stolen,month_stolen,month_name,day_of_week,make_name,make_type,region,country,population,density,vehicle_age,quarter,age_group,is_luxury,is_twowheeler,theft_per_100k,day_order,month_order,quarter_order,age_group_order
1,Trailer,623,2021,BST2021D,Silver,2021-11-05,102,2021,11,Nov,Friday,Trailer,Standard,Auckland,New Zealand,1695200.0,343.09,0,Q4,0-5 years,0,0,96.15,5,2,4,1
2,Boat Trailer,623,2021,OUTBACK BOATS FT470,Silver,2021-12-13,105,2021,12,Dec,Monday,Trailer,Standard,Gisborne,New Zealand,52100.0,6.21,0,Q4,0-5 years,0,0,335.89,1,3,4,1
3,Boat Trailer,623,2021,ASD JETSKI,Silver,2022-02-13,102,2022,2,Feb,Sunday,Trailer,Standard,Auckland,New Zealand,1695200.0,343.09,1,Q1,0-5 years,0,0,96.15,7,5,1,1
4,Trailer,623,2021,MSC 7X4,Silver,2021-11-13,106,2021,11,Nov,Saturday,Trailer,Standard,Hawke's Bay,New Zealand,182700.0,12.92,0,Q4,0-5 years,0,0,54.73,6,2,4,1
5,Trailer,623,2018,D-MAX 8X5,Silver,2022-01-10,102,2022,1,Jan,Monday,Trailer,Standard,Auckland,New Zealand,1695200.0,343.09,4,Q1,0-5 years,0,0,96.15,1,4,1,1
6,Roadbike,636,2005,YZF-R6T,Black,2021-12-31,102,2021,12,Dec,Friday,Yamaha,Standard,Auckland,New Zealand,1695200.0,343.09,16,Q4,11-20 years,0,1,96.15,5,3,4,3
7,Trailer,623,2021,CAAR TRANSPORTER,Silver,2021-11-12,114,2021,11,Nov,Friday,Trailer,Standard,Canterbury,New Zealand,655000.0,14.72,0,Q4,0-5 years,0,0,100.76,5,2,4,1
8,Boat Trailer,623,2001,BOAT,Silver,2022-02-22,109,2022,2,Feb,Tuesday,Trailer,Standard,Wellington,New Zealand,543500.0,67.52,21,Q1,20+ years,0,0,76.72,2,5,1,4
9,Trailer,514,2021,"7X4-6"" 1000KG",Silver,2022-02-25,115,2022,2,Feb,Friday,Briford,Standard,Otago,New Zealand,246000.0,7.89,1,Q1,0-5 years,0,0,56.5,5,5,1,1
10,Trailer,514,2020,8X4 TANDEM,Silver,2022-01-03,114,2022,1,Jan,Monday,Briford,Standard,Canterbury,New Zealand,655000.0,14.72,2,Q1,0-5 years,0,0,100.76,1,4,1,1
11,Trailer,623,2018,HOMEBUILT,Silver,2021-10-15,108,2021,10,Oct,Friday,Trailer,Standard,Manawatū-Whanganui,New Zealand,258200.0,11.62,3,Q4,0-5 years,0,0,53.83,5,1,4,1
12,Trailer,538,2018,BRENT SMITH TRAILERS,Silver,2022-02-28,102,2022,2,Feb,Monday,Factory Built,Standard,Auckland,New Zealand,1695200.0,343.09,4,Q1,0-5 years,0,0,96.15,1,5,1,1
13,Moped,629,2004,ET2,Black,2021-12-19,102,2021,12,Dec,Sunday,Vespa,Standard,Auckland,New Zealand,1695200.0,343.09,17,Q4,11-20 years,0,1,96.15,7,3,4,3
14,Moped,550,2007,TODAY,Blue,2022-01-23,102,2022,1,Jan,Sunday,Honda,Standard,Auckland,New Zealand,1695200.0,343.09,15,Q1,11-20 years,0,1,96.15,7,4,1,3
15,Roadbike,611,2007,DL650,Black,2022-02-28,101,2022,2,Feb,Monday,Suzuki,Standard,Northland,New Zealand,201500.0,16.11,15,Q1,11-20 years,0,1,116.13,1,5,1,3
16,Trailer,623,2021,JOBMATE,Silver,2022-02-08,109,2022,2,Feb,Tuesday,Trailer,Standard,Wellington,New Zealand,543500.0,67.52,1,Q1,0-5 years,0,0,76.72,2,5,1,1
17,Trailer,623,2021,BSTB85B,Silver,2021-10-10,102,2021,10,Oct,Sunday,Trailer,Standard,Auckland,New Zealand,1695200.0,343.09,0,Q4,0-5 years,0,0,96.15,7,1,4,1
18,Boat Trailer,623,2004,BOAT,White,2021-10-07,104,2021,10,Oct,Thursday,Trailer,Standard,Bay of Plenty,New Zealand,347700.0,28.8,17,Q4,11-20 years,0,0,127.98,4,1,4,3
19,Trailer,623,2014,DOMESTIC TRAILER,White,2022-02-24,104,2022,2,Feb,Thursday,Trailer,Standard,Bay of Plenty,New Zealand,347700.0,28.8,8,Q1,6-10 years,0,0,127.98,4,5,1,2
20,Boat Trailer,623,2018,APS SEADOO,Silver,2021-11-08,114,2021,11,Nov,Monday,Trailer,Standard,Canterbury,New Zealand,655000.0,14.72,3,Q4,0-5 years,0,0,100.76,1,2,4,1
21,Roadbike,625,2002,THUNDERBIRD,Silver,2022-02-11,101,2022,2,Feb,Friday,Triumph,Standard,Northland,New Zealand,201500.0,16.11,20,Q1,11-20 years,0,1,116.13,5,5,1,3
22,Trailer,538,2000,BRENT SMITH TRAILERS,Silver,2021-11-22,104,2021,11,Nov,Monday,Factory Built,Standard,Bay of Plenty,New Zealand,347700.0,28.8,21,Q4,20+ years,0,0,127.98,1,2,4,4
23,Trailer,623,2015,LOCAL,Silver,2022-01-27,114,2022,1,Jan,Thursday,Trailer,Standard,Canterbury,New Zealand,655000.0,14.72,7,Q1,6-10 years,0,0,100.76,4,4,1,2
24,Trailer - Heavy,623,2021,CT DIG 25,Silver,2021-11-12,102,2021,11,Nov,Friday,Trailer,Standard,Auckland,New Zealand,1695200.0,343.09,0,Q4,0-5 years,0,0,96.15,5,2,4,1
25,Trailer,623,2018,CHOOKS 2.4X1.6 TRANS,Silver,2021-10-08,106,2021,10,Oct,Friday,Trailer,Standard,Hawke's Bay,New Zealand,182700.0,12.92,3,Q4,0-5 years,0,0,54.73,5,1,4,1
26,Trailer,623,2017,EASY TILT,Silver,2022-03-04,108,2022,3,Mar,Friday,Trailer,Standard,Manawatū-Whanganui,New Zealand,258200.0,11.62,5,Q1,0-5 years,0,0,53.83,5,6,1,1
27,Trailer,623,2018,IFOR WILLIAMS CT177,Silver,2022-02-27,103,2022,2,Feb,Sunday,Trailer,Standard,Waikato,New Zealand,513800.0,21.5,4,Q1,0-5 years,0,0,71.82,7,5,1,1
28,Trailer,623,2018,CONDOR,Silver,2022-02-01,109,2022,2,Feb,Tuesday,Trailer,Standard,Wellington,New Zealand,543500.0,67.52,4,Q1,0-5 years,0,0,76.72,2,5,1,1
29,Trailer,623,2018,HOMEBUILT,Silver,2021-11-01,104,2021,11,Nov,Monday,Trailer,Standard,Bay of Plenty,New Zealand,347700.0,28.8,3,Q4,0-5 years,0,0,127.98,1,2,4,1
30,Trailer,623,2018,PRO COMMERCIAL,Silver,2021-12-21,102,2021,12,Dec,Tuesday,Trailer,Standard,Auckland,New Zealand,1695200.0,343.09,3,Q4,0-5 years,0,0,96.15,2,3,4,1
31,Trailer,623,2018,FACTORY,Grey,2022-01-03,102,2022,1,Jan,Monday,Trailer,Standard,Auckland,New Zealand,1695200.0,343.09,4,Q1,0-5 years,0,0,96.15,1,4,1,1
32,Trailer,549,1998,TRAILER,Green,2021-10-21,114,2021,10,Oct,Thursday,Homebuilt,Standard,Canterbury,New Zealand,655000.0,14.72,23,Q4,20+ years,0,0,100.76,4,1,4,4
33,Boat Trailer,623,2017,JFK JETSKI,Grey,2022-02-15,104,2022,2,Feb,Tuesday,Trailer,Standard,Bay of Plenty,New Zealand,347700.0,28.8,5,Q1,0-5 years,0,0,127.98,2,5,1,1
34,Trailer,623,2021,BST 2021D,Silver,2022-01-05,102,2022,1,Jan,Wednesday,Trailer,Standard,Auckland,New Zealand,1695200.0,343.09,1,Q1,0-5 years,0,0,96.15,3,4,1,1
35,Trailer,514,2021,10X5 TANDEM,Silver,2022-04-05,114,2022,4,Apr,Tuesday,Briford,Standard,Canterbury,New Zealand,655000.0,14.72,1,Q2,0-5 years,0,0,100.76,2,7,2,1
36,Trailer,623,2018,HOMEMADE,Grey,2022-02-17,103,2022,2,Feb,Thursday,Trailer,Standard,Waikato,New Zealand,513800.0,21.5,4,Q1,0-5 years,0,0,71.82,4,5,1,1
37,Trailer,623,2018,COMPASS-KH63,Silver,2022-02-23,102,2022,2,Feb,Wednesday,Trailer,Standard,Auckland,New Zealand,1695200.0,343.09,4,Q1,0-5 years,0,0,96.15,3,5,1,1
38,Trailer,623,2018,TRAYLA,Silver,2022-01-17,109,2022,1,Jan,Monday,Trailer,Standard,Wellington,New Zealand,543500.0,67.52,4,Q1,0-5 years,0,0,76.72,1,4,1,1
39,Trailer - Heavy,623,2021,PRESCOTT,Silver,2021-12-03,104,2021,12,Dec,Friday,Trailer,Standard,Bay of Plenty,New Zealand,347700.0,28.8,0,Q4,0-5 years,0,0,127.98,5,3,4,1
40,Trailer,549,2021,TRAILER,Black,2021-12-27,109,2021,12,Dec,Monday,Homebuilt,Standard,Wellington,New Zealand,543500.0,67.52,0,Q4,0-5 years,0,0,76.72,1,3,4,1
41,Trailer,623,2021,TRAYLA,Silver,2022-03-02,106,2022,3,Mar,Wednesday,Trailer,Standard,Hawke's Bay,New Zealand,182700.0,12.92,1,Q1,0-5 years,0,0,54.73,3,6,1,1
42,Trailer,623,2002,HOMEMADE,Silver,2022-01-02,102,2022,1,Jan,Sunday,Trailer,Standard,Auckland,New Zealand,1695200.0,343.09,20,Q1,11-20 years,0,0,96.15,7,4,1,3
43,Boat Trailer,623,2018,BST58OR,Silver,2022-02-24,102,2022,2,Feb,Thursday,Trailer,Standard,Auckland,New Zealand,1695200.0,343.09,4,Q1,0-5 years,0,0,96.15,4,5,1,1
44,Trailer,549,2018,TRAILER,Silver,2022-02-28,114,2022,2,Feb,Monday,Homebuilt,Standard,Canterbury,New Zealand,655000.0,14.72,4,Q1,0-5 years,0,0,100.76,1,5,1,1
45,Trailer,623,2014,DOMESTIC TRAILER,Silver,2021-10-19,104,2021,10,Oct,Tuesday,Trailer,Standard,Bay of Plenty,New Zealand,347700.0,28.8,7,Q4,6-10 years,0,0,127.98,2,1,4,2
46,Moped,538,2005,TGB PALIO,Silver,2021-11-09,106,2021,11,Nov,Tuesday,Factory Built,Standard,Hawke's Bay,New Zealand,182700.0,12.92,16,Q4,11-20 years,0,1,54.73,2,2,4,3
47,Trailer - Heavy,623,2004,TANDEM,Grey,2021-11-05,102,2021,11,Nov,Friday,Trailer,Standard,Auckland,New Zealand,1695200.0,343.09,17,Q4,11-20 years,0,0,96.15,5,2,4,3
48,Trailer,527,2021,TRAILER,Silver,2022-03-02,102,2022,3,Mar,Wednesday,Custombuilt,Standard,Auckland,New Zealand,1695200.0,343.09,1,Q1,0-5 years,0,0,96.15,3,6,1,1
49,Trailer,623,2021,DOMESTIC,Grey,2021-10-22,102,2021,10,Oct,Friday,Trailer,Standard,Auckland,New Zealand,1695200.0,343.09,0,Q4,0-5 years,0,0,96.15,5,1,4,1
50,Trailer,623,2021,M J TANDEM AXLE,Silver,2022-01-20,114,2022,1,Jan,Thursday,Trailer,Standard,Canterbury,New Zealand,655000.0,14.72,1,Q1,0-5 years,0,0,100.76,4,4,1,1
51,Trailer,514,2021,8X4 CAGE,Silver,2021-12-07,102,2021,12,Dec,Tuesday,Briford,Standard,Auckland,New Zealand,1695200.0,343.09,0,Q4,0-5 years,0,0,96.15,2,3,4,1
52,Caravan,537,2003,RIVIERA 482,White,2021-10-13,114,2021,10,Oct,Wednesday,Elddis,Standard,Canterbury,New Zealand,655000.0,14.72,18,Q4,11-20 years,0,0,100.76,3,1,4,3
53,Roadbike,636,1995,XTZ660BG,Blue,2022-03-21,111,2022,3,Mar,Monday,Yamaha,Standard,Nelson,New Zealand,54500.0,129.15,27,Q1,20+ years,0,1,168.81,1,6,1,4
54,Roadbike,561,1999,NINJA,Green,2022-02-15,104,2022,2,Feb,Tuesday,Kawasaki,Standard,Bay of Plenty,New Zealand,347700.0,28.8,23,Q1,20+ years,0,1,127.98,2,5,1,4
55,Trailer - Heavy,623,2021,PRESCOTT,Silver,2022-02-06,104,2022,2,Feb,Sunday,Trailer,Standard,Bay of Plenty,New Zealand,347700.0,28.8,1,Q1,0-5 years,0,0,127.98,7,5,1,1
56,Trailer - Heavy,623,2000,BRIFORD,Yellow,2022-03-05,102,2022,3,Mar,Saturday,Trailer,Standard,Auckland,New Zealand,1695200.0,343.09,22,Q1,20+ years,0,0,96.15,6,6,1,4
57,Boat Trailer,623,2021,ASD JETSKI,Silver,2022-02-21,102,2022,2,Feb,Monday,Trailer,Standard,Auckland,New Zealand,1695200.0,343.09,1,Q1,0-5 years,0,0,96.15,1,5,1,1
58,Trailer,623,1997,BRIFORD 8X4-6COVERED,Yellow,2021-11-05,105,2021,11,Nov,Friday,Trailer,Standard,Gisborne,New Zealand,52100.0,6.21,24,Q4,20+ years,0,0,335.89,5,2,4,4
59,Trailer,623,2021,HOMEBUILT,Black,2022-03-06,102,2022,3,Mar,Sunday,Trailer,Standard,Auckland,New Zealand,1695200.0,343.09,1,Q1,0-5 years,0,0,96.15,7,6,1,1
60,Trailer,623,1983,OLEARY,Red,2022-01-02,108,2022,1,Jan,Sunday,Trailer,Standard,Manawatū-Whanganui,New Zealand,258200.0,11.62,39,Q1,20+ years,0,0,53.83,7,4,1,4
61,Trailer,623,2021,TRAILERWORLD 9X5 HSB,Silver,2022-03-26,102,2022,3,Mar,Saturday,Trailer,Standard,Auckland,New Zealand,1695200.0,343.09,1,Q1,0-5 years,0,0,96.15,6,6,1,1
62,Trailer,623,2018,SINGLE AXLE,Silver,2021-10-10,102,2021,10,Oct,Sunday,Trailer,Standard,Auckland,New Zealand,1695200.0,343.09,3,Q4,0-5 years,0,0,96.15,7,1,4,1
63,Moped,550,2008,TODAY 50,Yellow,2021-12-19,104,2021,12,Dec,Sunday,Honda,Standard,Bay of Plenty,New Zealand,347700.0,28.8,13,Q4,11-20 years,0,1,127.98,7,3,4,3
64,Trailer,623,2018,IFOR WILLIAMS,Black,2022-01-06,104,2022,1,Jan,Thursday,Trailer,Standard,Bay of Plenty,New Zealand,347700.0,28.8,4,Q1,0-5 years,0,0,127.98,4,4,1,1
65,Trailer,623,2014,PRESCOTT,Silver,2022-03-24,104,2022,3,Mar,Thursday,Trailer,Standard,Bay of Plenty,New Zealand,347700.0,28.8,8,Q1,6-10 years,0,0,127.98,4,6,1,2
66,Boat Trailer,623,2014,SPORTLINE,Silver,2021-10-21,105,2021,10,Oct,Thursday,Trailer,Standard,Gisborne,New Zealand,52100.0,6.21,7,Q4,6-10 years,0,0,335.89,4,1,4,2
67,Hatchback,540,2006,FOCUS,Blue,2021-11-13,105,2021,11,Nov,Saturday,Ford,Standard,Gisborne,New Zealand,52100.0,6.21,15,Q4,11-20 years,0,0,335.89,6,2,4,3
68,Trailer - Heavy,623,2014,TILTING FLAT DECK,Silver,2021-11-08,105,2021,11,Nov,Monday,Trailer,Standard,Gisborne,New Zealand,52100.0,6.21,7,Q4,6-10 years,0,0,335.89,1,2,4,2
69,Trailer,623,2014,PMTRAILER,Silver,2022-01-24,114,2022,1,Jan,Monday,Trailer,Standard,Canterbury,New Zealand,655000.0,14.72,8,Q1,6-10 years,0,0,100.76,1,4,1,2
70,Boat Trailer,551,2014,BOAT TRAILER,Silver,2022-04-04,103,2022,4,Apr,Monday,Hoskings,Standard,Waikato,New Zealand,513800.0,21.5,8,Q2,6-10 years,0,0,71.82,1,7,2,2
71,Trailer,623,2014,TRAYLA,Silver,2022-02-24,107,2022,2,Feb,Thursday,Trailer,Standard,Taranaki,New Zealand,127300.0,17.55,8,Q1,6-10 years,0,0,87.98,4,5,1,2
72,Trailer,623,2014,ELITE,Silver,2022-02-04,102,2022,2,Feb,Friday,Trailer,Standard,Auckland,New Zealand,1695200.0,343.09,8,Q1,6-10 years,0,0,96.15,5,5,1,2
73,Trailer,623,2014,ELITE 7X4,Silver,2022-01-14,114,2022,1,Jan,Friday,Trailer,Standard,Canterbury,New Zealand,655000.0,14.72,8,Q1,6-10 years,0,0,100.76,5,4,1,2
74,Caravan,591,1969,PIONEER,White,2021-11-27,104,2021,11,Nov,Saturday,Oxford,Standard,Bay of Plenty,New Zealand,347700.0,28.8,52,Q4,20+ years,0,0,127.98,6,2,4,4
75,Saloon,512,2007,323I,White,2022-03-23,102,2022,3,Mar,Wednesday,BMW,Luxury,Auckland,New Zealand,1695200.0,343.09,15,Q1,11-20 years,1,0,96.15,3,6,1,3
76,Trailer,623,2015,7 X 4 STD,Silver,2022-01-05,102,2022,1,Jan,Wednesday,Trailer,Standard,Auckland,New Zealand,1695200.0,343.09,7,Q1,6-10 years,0,0,96.15,3,4,1,2
77,Trailer,623,2011,HOMEBUILT,Grey,2022-04-02,102,2022,4,Apr,Saturday,Trailer,Standard,Auckland,New Zealand,1695200.0,343.09,11,Q2,11-20 years,0,0,96.15,6,7,2,3
78,Boat Trailer,623,2015,ENDURO,Silver,2022-01-06,104,2022,1,Jan,Thursday,Trailer,Standard,Bay of Plenty,New Zealand,347700.0,28.8,7,Q1,6-10 years,0,0,127.98,4,4,1,2
79,Trailer,623,2015,TRAYLA,Silver,2022-02-28,106,2022,2,Feb,Monday,Trailer,Standard,Hawke's Bay,New Zealand,182700.0,12.92,7,Q1,6-10 years,0,0,54.73,1,5,1,2
80,Trailer,623,2015,ELITE 8X5,Silver,2022-01-14,114,2022,1,Jan,Friday,Trailer,Standard,Canterbury,New Zealand,655000.0,14.72,7,Q1,6-10 years,0,0,100.76,5,4,1,2
81,Trailer,623,2015,COMPASS D105,Silver,2021-10-18,102,2021,10,Oct,Monday,Trailer,Standard,Auckland,New Zealand,1695200.0,343.09,6,Q4,6-10 years,0,0,96.15,1,1,4,2
82,Trailer,623,2015,DOMESTIC TRAILER,Silver,2022-03-16,103,2022,3,Mar,Wednesday,Trailer,Standard,Waikato,New Zealand,513800.0,21.5,7,Q1,6-10 years,0,0,71.82,3,6,1,2
83,Trailer - Heavy,623,1998,TANK,White,2022-01-18,104,2022,1,Jan,Tuesday,Trailer,Standard,Bay of Plenty,New Zealand,347700.0,28.8,24,Q1,20+ years,0,0,127.98,2,4,1,4
84,Stationwagon,507,2015,ALLROAD,Silver,2022-04-03,109,2022,4,Apr,Sunday,Audi,Standard,Wellington,New Zealand,543500.0,67.52,7,Q2,6-10 years,0,0,76.72,7,7,2,2
85,Trailer,623,2015,ELITE 8X4,Silver,2022-01-04,114,2022,1,Jan,Tuesday,Trailer,Standard,Canterbury,New Zealand,655000.0,14.72,7,Q1,6-10 years,0,0,100.76,2,4,1,2
86,Roadbike,629,2001,PIAGGIO,Silver,2021-12-06,102,2021,12,Dec,Monday,Vespa,Standard,Auckland,New Zealand,1695200.0,343.09,20,Q4,11-20 years,0,1,96.15,1,3,4,3
87,Trailer,623,2015,HELMACK 8X5,Silver,2022-01-19,114,2022,1,Jan,Wednesday,Trailer,Standard,Canterbury,New Zealand,655000.0,14.72,7,Q1,6-10 years,0,0,100.76,3,4,1,2
88,Trailer,623,1984,LOCAL,Yellow,2022-03-21,102,2022,3,Mar,Monday,Trailer,Standard,Auckland,New Zealand,1695200.0,343.09,38,Q1,20+ years,0,0,96.15,1,6,1,4
89,Trailer,623,2015,SINGLE AXLE,Silver,2022-03-01,103,2022,3,Mar,Tuesday,Trailer,Standard,Waikato,New Zealand,513800.0,21.5,7,Q1,6-10 years,0,0,71.82,2,6,1,2
90,Boat Trailer,623,2008,BOAT,Silver,2022-02-22,104,2022,2,Feb,Tuesday,Trailer,Standard,Bay of Plenty,New Zealand,347700.0,28.8,14,Q1,11-20 years,0,0,127.98,2,5,1,3
91,Trailer,623,1990,HOMEBUILT,Blue,2022-01-20,104,2022,1,Jan,Thursday,Trailer,Standard,Bay of Plenty,New Zealand,347700.0,28.8,32,Q1,20+ years,0,0,127.98,4,4,1,4
92,Trailer,623,2000,PRESCOTT,Silver,2022-03-08,104,2022,3,Mar,Tuesday,Trailer,Standard,Bay of Plenty,New Zealand,347700.0,28.8,22,Q1,20+ years,0,0,127.98,2,6,1,4
93,Trailer,549,1996,TRAILER,Silver,2022-03-24,102,2022,3,Mar,Thursday,Homebuilt,Standard,Auckland,New Zealand,1695200.0,343.09,26,Q1,20+ years,0,0,96.15,4,6,1,4
94,Trailer,623,2018,COMPASS-C85,Silver,2022-03-18,102,2022,3,Mar,Friday,Trailer,Standard,Auckland,New Zealand,1695200.0,343.09,4,Q1,0-5 years,0,0,96.15,5,6,1,1
95,Trailer,616,2018,DOMESTIC TRAILER,Silver,2021-12-28,102,2021,12,Dec,Tuesday,Titan,Standard,Auckland,New Zealand,1695200.0,343.09,3,Q4,0-5 years,0,0,96.15,2,3,4,1
96,Trailer,527,1985,TANDEM,Silver,2022-01-13,102,2022,1,Jan,Thursday,Custombuilt,Standard,Auckland,New Zealand,1695200.0,343.09,37,Q1,20+ years,0,0,96.15,4,4,1,4
97,Roadbike,550,2005,VT,Red,2022-03-19,102,2022,3,Mar,Saturday,Honda,Standard,Auckland,New Zealand,1695200.0,343.09,17,Q1,11-20 years,0,1,96.15,6,6,1,3
98,Roadbike,550,2000,CBR,Blue,2022-01-31,114,2022,1,Jan,Monday,Honda,Standard,Canterbury,New Zealand,655000.0,14.72,22,Q1,20+ years,0,1,100.76,1,4,1,4
99,Trailer,623,2022,HOMEBUILT,Black,2022-02-14,102,2022,2,Feb,Monday,Trailer,Standard,Auckland,New Zealand,1695200.0,343.09,0,Q1,0-5 years,0,0,96.15,1,5,1,1
100,Boat Trailer,623,2021,JETSKI ACTION LAB,Grey,2021-12-30,103,2021,12,Dec,Thursday,Trailer,Standard,Waikato,New Zealand,513800.0,21.5,0,Q4,0-5 years,0,0,71.82,4,3,4,1
101,Trailer,623,2000,HOMEBUILT,Silver,2022-01-29,106,2022,1,Jan,Saturday,Trailer,Standard,Hawke's Bay,New Zealand,182700.0,12.92,22,Q1,20+ years,0,0,54.73,6,4,1,4
102,Trailer,549,2022,TRAILER,Black,2022-03-12,104,2022,3,Mar,Saturday,Homebuilt,Standard,Bay of Plenty,New Zealand,347700.0,28.8,0,Q1,0-5 years,0,0,127.98,6,6,1,1
103,Trailer,623,1998,MARTIN ENGINEERING,White,2022-03-28,102,2022,3,Mar,Monday,Trailer,Standard,Auckland,New Zealand,1695200.0,343.09,24,Q1,20+ years,0,0,96.15,1,6,1,4
104,Trailer,623,2018,TUFF,Silver,2021-11-22,104,2021,11,Nov,Monday,Trailer,Standard,Bay of Plenty,New Zealand,347700.0,28.8,3,Q4,0-5 years,0,0,127.98,1,2,4,1
105,Trailer,623,1977,LOCAL,Brown,2021-12-03,104,2021,12,Dec,Friday,Trailer,Standard,Bay of Plenty,New Zealand,347700.0,28.8,44,Q4,20+ years,0,0,127.98,5,3,4,4
106,Trailer - Heavy,623,2018,8X4 TRAYLA,Silver,2022-02-01,106,2022,2,Feb,Tuesday,Trailer,Standard,Hawke's Bay,New Zealand,182700.0,12.92,4,Q1,0-5 years,0,0,54.73,2,5,1,1
107,Trailer,623,1980,HOMEMADE,Blue,2022-03-20,111,2022,3,Mar,Sunday,Trailer,Standard,Nelson,New Zealand,54500.0,129.15,42,Q1,20+ years,0,0,168.81,7,6,1,4
108,Trailer - Heavy,623,2018,NYMIC,White,2022-04-03,114,2022,4,Apr,Sunday,Trailer,Standard,Canterbury,New Zealand,655000.0,14.72,4,Q2,0-5 years,0,0,100.76,7,7,2,1
109,Trailer,623,2022,TRAILER,Silver,2022-02-09,102,2022,2,Feb,Wednesday,Trailer,Standard,Auckland,New Zealand,1695200.0,343.09,0,Q1,0-5 years,0,0,96.15,3,5,1,1
110,Trailer,623,2019,TANDEM,Grey,2022-02-23,109,2022,2,Feb,Wednesday,Trailer,Standard,Wellington,New Zealand,543500.0,67.52,3,Q1,0-5 years,0,0,76.72,3,5,1,1
111,Trailer,623,2022,COMPASS-D116K,Silver,2022-03-15,106,2022,3,Mar,Tuesday,Trailer,Standard,Hawke's Bay,New Zealand,182700.0,12.92,0,Q1,0-5 years,0,0,54.73,2,6,1,1
112,Roadbike,545,2004,FXSTDI,Red,2022-01-16,102,2022,1,Jan,Sunday,Harley Davidson,Standard,Auckland,New Zealand,1695200.0,343.09,18,Q1,11-20 years,0,1,96.15,7,4,1,3
113,Trailer,623,1967,LOCAL,Grey,2021-10-19,114,2021,10,Oct,Tuesday,Trailer,Standard,Canterbury,New Zealand,655000.0,14.72,54,Q4,20+ years,0,0,100.76,2,1,4,4
114,Caravan,519,2006,SWIFT CHARISMA 230,White,2022-02-27,102,2022,2,Feb,Sunday,Caravan,Standard,Auckland,New Zealand,1695200.0,343.09,16,Q1,11-20 years,0,0,96.15,7,5,1,3
115,Trailer,623,2018,TANK,Silver,2022-03-29,114,2022,3,Mar,Tuesday,Trailer,Standard,Canterbury,New Zealand,655000.0,14.72,4,Q1,0-5 years,0,0,100.76,2,6,1,1
116,Tractor,575,2007,FERGUSSON,Red,2022-01-23,103,2022,1,Jan,Sunday,Massey,Standard,Waikato,New Zealand,513800.0,21.5,15,Q1,11-20 years,0,0,71.82,7,4,1,3
117,Trailer,623,2022,BST85,Silver,2022-03-15,109,2022,3,Mar,Tuesday,Trailer,Standard,Wellington,New Zealand,543500.0,67.52,0,Q1,0-5 years,0,0,76.72,2,6,1,1
118,Roadbike,611,2003,LS650P,Black,2021-12-03,101,2021,12,Dec,Friday,Suzuki,Standard,Northland,New Zealand,201500.0,16.11,18,Q4,11-20 years,0,1,116.13,5,3,4,3
119,Boat Trailer,626,2022,JET SKI,Black,2022-03-19,102,2022,3,Mar,Saturday,Trojan,Standard,Auckland,New Zealand,1695200.0,343.09,0,Q1,0-5 years,0,0,96.15,6,6,1,1
120,Trailer,623,2022,VULCAN,Silver,2022-03-04,102,2022,3,Mar,Friday,Trailer,Standard,Auckland,New Zealand,1695200.0,343.09,0,Q1,0-5 years,0,0,96.15,5,6,1,1
121,Boat Trailer,549,1989,EZ LOADER STABI CRAF,Grey,2021-10-12,114,2021,10,Oct,Tuesday,Homebuilt,Standard,Canterbury,New Zealand,655000.0,14.72,32,Q4,20+ years,0,0,100.76,2,1,4,4
122,Boat Trailer,623,2017,MCLAY,Silver,2022-03-19,105,2022,3,Mar,Saturday,Trailer,Standard,Gisborne,New Zealand,52100.0,6.21,5,Q1,0-5 years,0,0,335.89,6,6,1,1
123,Trailer,623,2019,ENSOL TANKER,Silver,2022-02-28,108,2022,2,Feb,Monday,Trailer,Standard,Manawatū-Whanganui,New Zealand,258200.0,11.62,3,Q1,0-5 years,0,0,53.83,1,5,1,1
124,Roadbike,561,2008,EX,Red,2022-04-02,102,2022,4,Apr,Saturday,Kawasaki,Standard,Auckland,New Zealand,1695200.0,343.09,14,Q2,11-20 years,0,1,96.15,6,7,2,3
125,Moped,585,2008,HYOSUNG SB49M,Red,2022-01-29,102,2022,1,Jan,Saturday,Moped,Standard,Auckland,New Zealand,1695200.0,343.09,14,Q1,11-20 years,0,1,96.15,6,4,1,3
126,Trailer,623,1996,BRIFORD,Grey,2022-03-13,114,2022,3,Mar,Sunday,Trailer,Standard,Canterbury,New Zealand,655000.0,14.72,26,Q1,20+ years,0,0,100.76,7,6,1,4
127,Boat Trailer,623,2000,REID,Silver,2022-02-03,102,2022,2,Feb,Thursday,Trailer,Standard,Auckland,New Zealand,1695200.0,343.09,22,Q1,20+ years,0,0,96.15,4,5,1,4
128,Boat Trailer,549,1994,15X7,White,2022-01-01,114,2022,1,Jan,Saturday,Homebuilt,Standard,Canterbury,New Zealand,655000.0,14.72,28,Q1,20+ years,0,0,100.76,6,4,1,4
129,Trailer,623,1998,KEA,Grey,2021-11-16,111,2021,11,Nov,Tuesday,Trailer,Standard,Nelson,New Zealand,54500.0,129.15,23,Q4,20+ years,0,0,168.81,2,2,4,4
130,Trailer,623,2019,ROADCHIEF,Grey,2022-01-20,101,2022,1,Jan,Thursday,Trailer,Standard,Northland,New Zealand,201500.0,16.11,3,Q1,0-5 years,0,0,116.13,4,4,1,1
