vehicle_id,vehicle_type,make_id,model_year,vehicle_desc,color,date_stolen,location_id,year_stolen,month_stolen,month_name,day_of_week,make_name,make_type,region,country,population,density,vehicle_age,quarter,age_group,is_luxury,is_twowheeler,theft_per_100k,day_order,month_order,quarter_order,age_group_order
1138,Utility,540,2003,COURIER,White,2021-11-23,114,2021,11,Nov,Tuesday,Ford,Standard,Canterbury,New Zealand,655000.0,14.72,18,Q4,11-20 years,0,0,100.76,2,2,4,3
1139,Light Van,576,2003,E2000,White,2022-03-29,111,2022,3,Mar,Tuesday,Mazda,Standard,Nelson,New Zealand,54500.0,129.15,19,Q1,11-20 years,0,0,168.81,2,6,1,3
1140,Stationwagon,619,2003,HIGHLANDER,Red,2021-11-29,102,2021,11,Nov,Monday,Toyota,Standard,Auckland,New Zealand,1695200.0,343.09,18,Q4,11-20 years,0,0,96.15,1,2,4,3
1141,Utility,619,2003,HILUX,Green,2021-12-15,104,2021,12,Dec,Wednesday,Toyota,Standard,Bay of Plenty,New Zealand,347700.0,28.8,18,Q4,11-20 years,0,0,127.98,3,3,4,3
1142,Saloon,548,2003,COMMODORE,Green,2021-10-21,102,2021,10,Oct,Thursday,Holden,Standard,Auckland,New Zealand,1695200.0,343.09,18,Q4,11-20 years,0,0,96.15,4,1,4,3
1143,Hatchback,548,2003,ASTRA,Silver,2021-10-24,104,2021,10,Oct,Sunday,Holden,Standard,Bay of Plenty,New Zealand,347700.0,28.8,18,Q4,11-20 years,0,0,127.98,7,1,4,3
1144,Hatchback,592,2003,307,Yellow,2022-01-30,107,2022,1,Jan,Sunday,Peugeot,Standard,Taranaki,New Zealand,127300.0,17.55,19,Q1,11-20 years,0,0,87.98,7,4,1,3
1145,Stationwagon,540,2003,MONDEO,Red,2021-10-11,103,2021,10,Oct,Monday,Ford,Standard,Waikato,New Zealand,513800.0,21.5,18,Q4,11-20 years,0,0,71.82,1,1,4,3
1146,Stationwagon,556,1990,BIGHORN,White,2022-01-13,111,2022,1,Jan,Thursday,Isuzu,Standard,Nelson,New Zealand,54500.0,129.15,32,Q1,20+ years,0,0,168.81,4,4,1,4
1147,Stationwagon,610,1998,IMPREZA,Silver,2022-02-11,102,2022,2,Feb,Friday,Subaru,Standard,Auckland,New Zealand,1695200.0,343.09,24,Q1,20+ years,0,0,96.15,5,5,1,4
1148,Stationwagon,587,1997,TERRANO,Black,2021-11-26,102,2021,11,Nov,Friday,Nissan,Standard,Auckland,New Zealand,1695200.0,343.09,24,Q4,20+ years,0,0,96.15,5,2,4,4
1149,Saloon,550,2003,ACCORD,Black,2022-02-26,104,2022,2,Feb,Saturday,Honda,Standard,Bay of Plenty,New Zealand,347700.0,28.8,19,Q1,11-20 years,0,0,127.98,6,5,1,3
1150,Light Van,619,1993,TOWNACE,Silver,2021-12-01,103,2021,12,Dec,Wednesday,Toyota,Standard,Waikato,New Zealand,513800.0,21.5,28,Q4,20+ years,0,0,71.82,3,3,4,4
1151,Stationwagon,512,2003,318I,Silver,2022-01-21,114,2022,1,Jan,Friday,BMW,Luxury,Canterbury,New Zealand,655000.0,14.72,19,Q1,11-20 years,1,0,100.76,5,4,1,3
1152,Other Truck,619,1995,DYNA,White,2021-10-08,104,2021,10,Oct,Friday,Toyota,Standard,Bay of Plenty,New Zealand,347700.0,28.8,26,Q4,20+ years,0,0,127.98,5,1,4,4
1153,Stationwagon,556,1992,BIGHORN,Green,2021-11-27,104,2021,11,Nov,Saturday,Isuzu,Standard,Bay of Plenty,New Zealand,347700.0,28.8,29,Q4,20+ years,0,0,127.98,6,2,4,4
1154,Light Van,619,2003,HIACE,Silver,2022-02-24,102,2022,2,Feb,Thursday,Toyota,Standard,Auckland,New Zealand,1695200.0,343.09,19,Q1,11-20 years,0,0,96.15,4,5,1,3
1155,Hatchback,587,2003,PULSAR,Blue,2021-10-15,109,2021,10,Oct,Friday,Nissan,Standard,Wellington,New Zealand,543500.0,67.52,18,Q4,11-20 years,0,0,76.72,5,1,4,3
